TestName,TestOutcomeName,TestOutcome
org.apache.tools.ant.taskdefs.RmicAdvancedTest@testVersionCompat,error,0
org.apache.tools.ant.types.PropertySetTest@testReferenceToTwoReferences,pass,1
org.apache.tools.ant.taskdefs.UntarTest@testDocumentationClaimsOnCopy,error,0
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTest@testXml,error,0
org.apache.tools.ant.taskdefs.optional.JspcTest@testNotAJspFile,pass,1
org.apache.tools.ant.taskdefs.AvailableTest@test22,pass,1
org.apache.tools.ant.taskdefs.AvailableTest@test23,pass,1
org.apache.tools.ant.taskdefs.AvailableTest@test20,pass,1
org.apache.tools.ant.taskdefs.AvailableTest@test21,pass,1
org.apache.tools.ant.taskdefs.AvailableTest@test24,error,0
org.apache.tools.ant.taskdefs.JarTest@testIndexJarsPlusJarMarker,pass,1
org.apache.tools.ant.taskdefs.RecorderTest@testDeleteRestart,failure,0
org.apache.tools.ant.DirectoryScannerTest@testContentsExcluded,pass,1
org.apache.tools.ant.util.DOMElementWriterTest@testAttributeWithWhitespace,pass,1
org.apache.tools.ant.taskdefs.ImportTest@testTargetName,pass,1
org.apache.tools.ant.taskdefs.InputTest@testDefaultInlineHandler,error,0
org.apache.tools.ant.types.selectors.TypeSelectorTest@testSelectionBehaviour,error,0
org.apache.tools.ant.taskdefs.ProtectedJarMethodsTest@testGrabFilesAndDirs,pass,1
org.apache.tools.ant.util.StringUtilsTest@testEndsWithNoMatch,pass,1
org.apache.tools.ant.taskdefs.XmlPropertyTest@testSemanticInclude,pass,1
org.apache.tools.ant.types.selectors.FilenameSelectorTest@testRespondsToError,pass,1
org.apache.tools.ant.IntrospectionHelperTest@testSupportsCharacters,pass,1
org.apache.tools.ant.taskdefs.ConcatTest@testfilterinline,pass,1
org.apache.tools.zip.UTF8ZipFilesTest@testCP437FileRoundtripImplicitUnicodeExtra,pass,1
org.apache.tools.ant.types.XMLCatalogBuildFileTest@testEntityWithCatalog,error,0
org.apache.tools.ant.taskdefs.InputTest@test6,error,0
org.apache.tools.ant.taskdefs.InputTest@test5,error,0
org.apache.tools.ant.taskdefs.InputTest@test2,error,0
org.apache.tools.ant.taskdefs.InputTest@test3,failure,0
org.apache.tools.bzip2.CBZip2StreamTest@testDivisionByZero,pass,1
org.apache.tools.ant.taskdefs.InputTest@test1,error,0
org.apache.tools.ant.taskdefs.ExecTaskTest@testspawn,pass,1
org.apache.tools.zip.ExtraFieldUtilsTest@testParseWithRead,pass,1
org.apache.tools.ant.taskdefs.LoadFileTest@testEvalProps,pass,1
org.apache.tools.ant.taskdefs.JarTest@testRecreateZipfilesetWithUpdateNewerFile,pass,1
org.apache.tools.ant.taskdefs.ConditionTest@testResourcesmatchError,pass,1
org.apache.tools.ant.util.XMLFragmentTest@testNestedChildren,pass,1
org.apache.tools.ant.taskdefs.PreSetDefTest@testPresetdefWithNestedElementTwice,pass,1
org.apache.tools.ant.types.AssertionsTest@testMultipleAssertions,failure,0
org.apache.tools.ant.taskdefs.condition.IsFileSelectedTest@testName,pass,1
org.apache.tools.ant.types.selectors.DependSelectorTest@testValidate,pass,1
org.apache.tools.ant.util.DateUtilsTest@testLongElapsedTime,pass,1
org.apache.tools.zip.UTF8ZipFilesTest@testUtf8FileRoundtripNoEFSImplicitUnicodeExtra,pass,1
org.apache.tools.ant.taskdefs.ManifestClassPathTest@testBadDirectory,pass,1
org.apache.tools.ant.taskdefs.FailTest@test1,pass,1
org.apache.tools.ant.taskdefs.FailTest@test2,pass,1
org.apache.tools.ant.taskdefs.NiceTest@testTooFast,pass,1
org.apache.tools.ant.taskdefs.ReplaceTest@testPreserveLastModified,pass,1
org.apache.tools.ant.taskdefs.optional.JspcTest@testXml,failure,0
org.apache.tools.ant.util.FileUtilsTest@testFromURI,pass,1
org.apache.tools.ant.util.DateUtilsTest@testDateTimeISO,pass,1
org.apache.tools.ant.taskdefs.FailTest@testIf,pass,1
org.apache.tools.ant.taskdefs.AntTest@test3,pass,1
org.apache.tools.ant.types.PermissionsTest@testExit,pass,1
org.apache.tools.ant.ProjectTest@testTaskDefinitionContainsKey,pass,1
org.apache.tools.ant.taskdefs.TypedefTest@testNoResourceOnErrorNotFail,pass,1
org.apache.tools.ant.taskdefs.optional.EchoPropertiesTest@testEchoToGoodFileNoFail,pass,1
org.apache.tools.ant.taskdefs.MacroDefTest@testImplicitNotOptional,pass,1
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTest@testSimple,error,0
org.apache.tools.ant.taskdefs.CopyTest@testTranscoding,error,0
org.apache.tools.ant.taskdefs.ReplaceTest@test1,pass,1
org.apache.tools.ant.taskdefs.ReplaceTest@test2,pass,1
org.apache.tools.ant.taskdefs.ReplaceTest@test3,pass,1
org.apache.tools.ant.taskdefs.ReplaceTest@test4,pass,1
org.apache.tools.ant.taskdefs.ReplaceTest@test5,error,0
org.apache.tools.ant.taskdefs.ReplaceTest@test6,pass,1
org.apache.tools.ant.taskdefs.ReplaceTest@test7,pass,1
org.apache.tools.ant.taskdefs.ReplaceTest@test8,error,0
org.apache.tools.ant.taskdefs.ReplaceTest@test9,error,0
org.apache.tools.ant.taskdefs.AbstractCvsTaskTest@testAbstractCvsTask,error,0
org.apache.tools.zip.AsiExtraFieldTest@testReparse,pass,1
org.apache.tools.ant.taskdefs.DeltreeTest@test2,pass,1
org.apache.tools.ant.taskdefs.optional.XmlValidateTest@testXmlSchemaBad,failure,0
org.apache.tools.ant.taskdefs.JavadocTest@testNestedFilesetRefInPath,error,0
org.apache.tools.ant.taskdefs.UntarTest@testTestTarTask,error,0
org.apache.tools.ant.types.selectors.ModifiedSelectorTest@testScenarioCoreSelectorDefaults,error,0
org.apache.tools.ant.taskdefs.JavadocTest@testNestedFilesetRef,error,0
org.apache.tools.ant.util.CollectionUtilsTest@testVectorEquals,pass,1
org.apache.tools.ant.taskdefs.SleepTest@test1,pass,1
org.apache.tools.ant.taskdefs.RmicAdvancedTest@testWrongClass,failure,0
org.apache.tools.ant.types.FilterSetTest@testNestedFilterSets,pass,1
org.apache.tools.ant.taskdefs.optional.depend.DependTest@testInnerInner,error,0
org.apache.tools.ant.taskdefs.FixCrLfTest@testCrCrLfSequenceDos,error,0
org.apache.tools.ant.taskdefs.SubAntTest@testantfile,pass,1
org.apache.tools.ant.taskdefs.TouchTest@testMappedFilelist,pass,1
org.apache.tools.ant.taskdefs.JavacTest@testTargetOverridesDefault,pass,1
org.apache.tools.ant.util.LinkedHashtableTest@testValues,pass,1
org.apache.tools.ant.taskdefs.MacroDefTest@testTopLevelText,pass,1
org.apache.tools.ant.taskdefs.JavaTest@testResultPropertyNonZero,error,0
org.apache.tools.ant.taskdefs.MoveTest@testCompleteDirectoryMoveFileToFile,pass,1
org.apache.tools.ant.types.DirSetTest@testCircularReferenceCheck,pass,1
org.apache.tools.ant.taskdefs.CopyTest@testSingleFilePath,error,0
org.apache.tools.ant.taskdefs.MacroDefTest@testBackTraceOff,pass,1
org.apache.tools.ant.taskdefs.PropertyTest@testPrefixSuccess,failure,0
org.apache.tools.ant.taskdefs.AntTest@testMultipleTargets2,error,0
org.apache.tools.ant.util.UnPackageNameMapperTest@testMapping,pass,1
org.apache.tools.ant.types.selectors.ModifiedSelectorTest@testScenarioCoreSelectorSettings,error,0
org.apache.tools.ant.filters.ConcatFilterTest@testConcatFilter,error,0
org.apache.tools.ant.taskdefs.JavaTest@testReleasedInput,error,0
org.apache.tools.ant.util.DOMElementWriterTest@testNSPrefixOnAttributeEvenWithoutElement,pass,1
org.apache.tools.ant.taskdefs.AntTest@testReferenceNoInheritance,error,0
org.apache.tools.ant.taskdefs.InputTest@testGreedyInlineHandler,error,0
org.apache.tools.ant.taskdefs.UnzipTest@testTestZipTask,error,0
org.apache.tools.ant.taskdefs.CopydirTest@test4,pass,1
org.apache.tools.ant.taskdefs.CopydirTest@test5,pass,1
org.apache.tools.ant.taskdefs.CopydirTest@test6,failure,0
org.apache.tools.ant.taskdefs.CopydirTest@test1,pass,1
org.apache.tools.ant.taskdefs.CopydirTest@test2,pass,1
org.apache.tools.ant.taskdefs.CopydirTest@test3,pass,1
org.apache.tools.ant.taskdefs.JarTest@testRecreateWithoutUpdateAdditionalFiles,pass,1
org.apache.tools.ant.types.XMLCatalogBuildFileTest@testDocumentNoCatalog,error,0
org.apache.tools.ant.types.mappers.GlobMapperTest@testHandleDirSep,pass,1
org.apache.tools.ant.taskdefs.XmlPropertyTest@testNone,pass,1
org.apache.tools.mail.MailMessageTest@testCcOnly,pass,1
org.apache.tools.ant.taskdefs.CallTargetTest@testInheritRefFileSet,failure,0
org.apache.tools.ant.taskdefs.ZipTest@testPrefixAddsDir,error,0
org.apache.tools.ant.taskdefs.ConditionTest@testFilesmatchDifferent,pass,1
org.apache.tools.ant.util.ReaderInputStreamTest@testSimpleAbc16,pass,1
org.apache.tools.ant.util.DOMElementWriterTest@testEncodeAttributeValue,pass,1
org.apache.tools.ant.taskdefs.JavaTest@testJarAndClassName,error,0
org.apache.tools.ant.util.LayoutPreservingPropertiesTest@testOverwrite,pass,1
org.apache.tools.ant.taskdefs.TarTest@test9,pass,1
org.apache.tools.ant.taskdefs.TarTest@test8,error,0
org.apache.tools.ant.types.AssertionsTest@testDisable,error,0
org.apache.tools.ant.taskdefs.TarTest@test1,pass,1
org.apache.tools.ant.taskdefs.TarTest@test3,pass,1
org.apache.tools.ant.taskdefs.TarTest@test2,pass,1
org.apache.tools.ant.taskdefs.TarTest@test5,failure,0
org.apache.tools.ant.taskdefs.TarTest@test4,pass,1
org.apache.tools.ant.taskdefs.TarTest@test7,failure,0
org.apache.tools.ant.taskdefs.TarTest@test6,pass,1
org.apache.tools.ant.taskdefs.ProcessDestroyerTest@testProcessDestroyer,pass,1
org.apache.tools.ant.taskdefs.TaskdefTest@testGlobal,pass,1
org.apache.tools.ant.taskdefs.BZip2Test@testDateCheck,error,0
org.apache.tools.ant.taskdefs.optional.depend.DependTest@testInner,error,0
org.apache.tools.ant.util.JavaEnvUtilsTest@testIsAtLeastJavaVersion,pass,1
org.apache.tools.ant.taskdefs.CallTargetTest@testMultipleTargets,pass,1
org.apache.tools.ant.types.selectors.ModifiedSelectorTest@testResourceSelectorScenarioSimple,error,0
org.apache.tools.ant.util.DOMElementWriterTest@testEncode,pass,1
org.apache.tools.ant.taskdefs.condition.IsReferenceTest@testNotEnoughArgs,pass,1
org.apache.tools.ant.taskdefs.CVSPassTest@testPassFile,pass,1
org.apache.tools.mail.MailMessageTest@testBccOnly,pass,1
org.apache.tools.ant.taskdefs.SignJarTest@testURLKeystoreHTTP,pass,1
org.apache.tools.ant.filters.TokenFilterTest@testFilterReplaceStrings,pass,1
org.apache.tools.ant.taskdefs.RmicAdvancedTest@testVersion11Dest,error,0
org.apache.tools.ant.taskdefs.CopyTest@testPathAsResource,pass,1
org.apache.tools.ant.util.DateUtilsTest@testTimeISODate,pass,1
org.apache.tools.ant.taskdefs.MakeUrlTest@testFileset,pass,1
org.apache.tools.zip.ZipEncodingTest@testSimpleCp437Encoding,pass,1
org.apache.tools.ant.taskdefs.RmicAdvancedTest@testBadName,failure,0
org.apache.tools.ant.taskdefs.condition.TypeFoundTest@testTaskThatDoesntReallyExist,pass,1
org.apache.tools.ant.taskdefs.FixCrLfTest@testCannotDoubleEof,error,0
org.apache.tools.ant.types.mappers.RegexpPatternMapperTest@testIgnoreCase,pass,1
org.apache.tools.ant.taskdefs.LoadFileTest@testLoadAFileEnc,error,0
org.apache.tools.ant.types.selectors.ModifiedSelectorTest@testCustomClasses,error,0
org.apache.tools.ant.taskdefs.MoveTest@testCompleteDirectoryMoveFileToExistingDir,pass,1
org.apache.tools.ant.taskdefs.MakeUrlTest@testIllegalCombinations,pass,1
org.apache.tools.ant.types.FileListTest@testEmptyElementIfIsReference,pass,1
org.apache.tools.ant.taskdefs.optional.SchemaValidateTest@testFileset,error,0
org.apache.tools.ant.types.selectors.ModifiedSelectorTest@testDelayUpdateTargetFinished,pass,1
org.apache.tools.ant.taskdefs.ConditionTest@testContains,pass,1
org.apache.tools.ant.taskdefs.ConditionTest@testOrFails,pass,1
org.apache.tools.ant.taskdefs.AptTest@testAptNewFactoryFork,error,0
org.apache.tools.ant.taskdefs.ReplaceTest@testNoPreserveLastModified,pass,1
org.apache.tools.ant.util.FileUtilsTest@testToURI,pass,1
org.apache.tools.ant.util.LayoutPreservingPropertiesTest@testPreserve,pass,1
org.apache.tools.ant.taskdefs.JavaTest@testExceptingFork,error,0
org.apache.tools.ant.taskdefs.optional.EchoPropertiesTest@testEchoToGoodFileXml,pass,1
org.apache.tools.ant.types.AssertionsTest@testClassname,failure,0
org.apache.tools.ant.taskdefs.optional.TraXLiaisonTest@testTransform,pass,1
org.apache.tools.ant.filters.TokenFilterTest@testReplaceRegex,pass,1
org.apache.tools.ant.taskdefs.ManifestTest@test8,error,0
org.apache.tools.ant.taskdefs.ManifestTest@test9,pass,1
org.apache.tools.ant.taskdefs.ManifestTest@test6,failure,0
org.apache.tools.ant.taskdefs.ManifestTest@test7,error,0
org.apache.tools.ant.taskdefs.ManifestTest@test4,failure,0
org.apache.tools.ant.taskdefs.ManifestTest@test5,error,0
org.apache.tools.ant.taskdefs.ManifestTest@test2,error,0
org.apache.tools.ant.taskdefs.ManifestTest@test3,failure,0
org.apache.tools.ant.taskdefs.XmlnsTest@testXmlns,pass,1
org.apache.tools.ant.taskdefs.ManifestTest@test1,error,0
org.apache.tools.ant.filters.DynamicFilterTest@testCustomFilter,pass,1
org.apache.tools.zip.ZipLongTest@testEquals,pass,1
org.apache.tools.ant.taskdefs.MoveTest@testCompleteDirectoryMoveFileToDir,pass,1
org.apache.tools.ant.taskdefs.condition.AntVersionTest@testExactly,pass,1
org.apache.tools.ant.ProjectTest@testResolveFile,pass,1
org.apache.tools.ant.taskdefs.TarTest@test11,error,0
org.apache.tools.ant.taskdefs.TarTest@test10,error,0
org.apache.tools.ant.types.AddTypeTest@testAddConfigured,pass,1
org.apache.tools.ant.taskdefs.WhichResourceTest@testResourcename,pass,1
org.apache.tools.ant.types.PermissionsTest@testDefaultRevoked,pass,1
org.apache.tools.ant.types.AddTypeTest@testNestedAB,pass,1
org.apache.tools.ant.util.LineOrientedOutputStreamTest@testLineWithCariagereturnArray,pass,1
org.apache.tools.ant.taskdefs.optional.XmlValidateTest@testXmlCatalogPath,error,0
org.apache.tools.ant.taskdefs.TarTest@test7UsingFileList,failure,0
org.apache.tools.ant.taskdefs.ConcatTest@testmultireader,pass,1
org.apache.tools.ant.taskdefs.optional.i18n.TranslateTest@test1,error,0
org.apache.tools.ant.taskdefs.PathConvertTest@testMap,failure,0
org.apache.tools.ant.IncludeTest@testTaskErrorInIncluded,error,0
